round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,tx_hash_to_receipt_ms,sender_receipt_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,tx_hash_to_complete_ms,sender_receipt_to_complete_ms,event_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,Sha256,Sha256Latency001,node1,signer,http://127.0.0.1:8761,10,13,7645.581946,7643.852837,0.258231,17093.898173,24739.480119,24737.751010,17094.156404,17094.156404,9.678131,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node2,observer,http://127.0.0.1:8762,10,13,7645.763170,7644.034061,0.439455,17052.071956,24697.835126,24696.106017,17052.511411,17052.511411,119.956199,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node3,observer,http://127.0.0.1:8763,10,13,7644.958356,7643.229247,-0.365359,17052.884020,24697.842376,24696.113267,17052.518661,17052.518661,71.161641,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node4,observer,http://127.0.0.1:8764,10,13,7645.597390,7643.868281,0.273675,17062.913547,24708.510937,24706.781828,17063.187222,17063.187222,10.648489,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node5,observer,http://127.0.0.1:8765,10,13,7644.713000,7642.983891,-0.610715,17053.123127,24697.836127,24696.107018,17052.512412,17052.512412,71.052177,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
