round,mode,stage,block_number,block_hash,expected_version,expected_output,node_id,role,rpc_url,head_number,head_hash,receipt_visible,receipt_block,receipt_block_hash,version,activation_block,metadata_hash,output,output_hex,ok,error
1,scheduled,before,19,0xf4075829486bb3cec3918b4bb4ee7843e922d7301f97b1546ae750a492d05473,1011,200,node1,signer,http://127.0.0.1:8661,21,0x671c302b51235db537d08bb52b64932dccaa6c67c4467570ffd314cedaf73005,true,21,0x671c302b51235db537d08bb52b64932dccaa6c67c4467570ffd314cedaf73005,1011,18,0xc60e7d53392e6e8d08bab5cc530026a5e51c642bccc294ddc255a9b8ed8a6f0e,200,0x00000000000000000000000000000000000000000000000000000000000000c8,true,
1,scheduled,before,19,0xf4075829486bb3cec3918b4bb4ee7843e922d7301f97b1546ae750a492d05473,1011,200,node2,observer,http://127.0.0.1:8662,21,0x671c302b51235db537d08bb52b64932dccaa6c67c4467570ffd314cedaf73005,true,21,0x671c302b51235db537d08bb52b64932dccaa6c67c4467570ffd314cedaf73005,1011,18,0xc60e7d53392e6e8d08bab5cc530026a5e51c642bccc294ddc255a9b8ed8a6f0e,200,0x00000000000000000000000000000000000000000000000000000000000000c8,true,
1,scheduled,after,20,0x771259f2e270c3dc76ecdbf443e36c2b793d46d9545ffbac7b225a8110759ef9,1012,205,node1,signer,http://127.0.0.1:8661,21,0x671c302b51235db537d08bb52b64932dccaa6c67c4467570ffd314cedaf73005,true,21,0x671c302b51235db537d08bb52b64932dccaa6c67c4467570ffd314cedaf73005,1012,20,0xa1bf819dd1c613878213c6809dd6ec66dfaa0cf7433857224b97c1558163d97f,,,false,algorithm Add version 1012 is not loaded
1,scheduled,after,20,0x771259f2e270c3dc76ecdbf443e36c2b793d46d9545ffbac7b225a8110759ef9,1012,205,node2,observer,http://127.0.0.1:8662,21,0x671c302b51235db537d08bb52b64932dccaa6c67c4467570ffd314cedaf73005,true,21,0x671c302b51235db537d08bb52b64932dccaa6c67c4467570ffd314cedaf73005,1012,20,0xa1bf819dd1c613878213c6809dd6ec66dfaa0cf7433857224b97c1558163d97f,,,false,algorithm Add version 1012 is not loaded
