round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,tx_hash_to_receipt_ms,sender_receipt_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,tx_hash_to_complete_ms,sender_receipt_to_complete_ms,event_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,SchnorrVerify,SchnorrVerifyLatency001,node1,signer,http://127.0.0.1:8761,6,9,6737.879138,6734.300769,0.369589,19775.123421,26513.002559,26509.424190,19775.493010,19775.493010,10.987820,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node2,observer,http://127.0.0.1:8762,6,9,6737.817861,6734.239492,0.308312,19622.469987,26360.287848,26356.709479,19622.778299,19622.778299,11.630201,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node3,observer,http://127.0.0.1:8763,6,9,6733.304384,6729.726015,-4.205165,19459.709418,26193.013802,26189.435433,19455.504253,19455.504253,17.866324,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node4,observer,http://127.0.0.1:8764,6,9,6745.846292,6742.267923,8.336743,19676.610486,26422.456778,26418.878409,19684.947229,19684.947229,10.553768,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node5,observer,http://127.0.0.1:8765,6,9,6737.912881,6734.334512,0.403332,19758.705108,26496.617989,26493.039620,19759.108440,19759.108440,11.478067,true,true,true,false,
