round,algorithm,upgrade_name,source_path,abi_input_types,abi_output_types,algo_gas,input_summary,expected_output,sender_node,tx_hash,receipt_status,gas_used,target_nodes,completed_nodes,submit_to_sender_receipt_ms,submit_to_all_receipt_ms,submit_to_all_complete_ms,slowest_node,completed,error
1,Add,AddLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-multialgo-final-20260812-105644/sources/addlatency001.go,"uint256,uint256",uint256,3000,"{""a"":""100"",""b"":""100"",""expected"":""200""}",200,node1,0x841fa43f3c057c644b988c695c3775f5920d2d42e179cfb34c71c32b8644c117,1,86300,2,2,9303.382411,20459.470621,20476.506924,node2,true,
2,Sha256,Sha256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-multialgo-final-20260812-105644/sources/sha256latency001.go,bytes,bytes,3000,"{""dataHex"":""0x68656c6c6f2063727970746f75706772616465"",""outputHex"":""0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414""}",0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,node1,0xf4a5291ef86fe4b93bf6f6c5f93f2f5971b45c5b781c16e9cd44f74ebc916c49,1,88156,2,2,4247.033144,5458.164596,5467.700232,node2,true,
3,Blake2bSum256,Sum256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-multialgo-final-20260812-105644/sources/sum256latency001.go,bytes,bytes32,3000,"{""dataHex"":""0x68656c6c6f2063727970746f75706772616465"",""outputHex"":""0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4""}",0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,node1,0x8ce7f00060922e241162ea0af96efe6cc68ec360835d9f957971dbf7240ea073,1,150920,2,2,8688.470334,9294.309095,9303.475952,node2,true,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-multialgo-final-20260812-105644/sources/pbkdf2sha256latency001.go,"bytes,bytes,uint256,uint256",bytes,25000,"{""iterations"":""2"",""keyLength"":""32"",""passwordHex"":""0x70617373776f7264"",""saltHex"":""0x73616c74""}",0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,node1,0x36eb3d9484f908a4b5202d4ab973f1612cc349ecb88738edba63a9c174d95a2d,1,109164,2,2,4443.464618,5251.868709,5262.866512,node2,true,
5,Dh2048Secret,Dh2048SecretLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-multialgo-final-20260812-105644/sources/dh2048secretlatency001.go,"bytes,bytes",bytes,200000,"{""peerPublicKeyByteLen"":""256"",""peerPublicKeySha256"":""0xd0ea30fde833ad026152c3bf82605ae359a4413c4b0b8f6e8d8fa13c75d447d3"",""privateKeyHex"":""0x05""}",0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,node1,0xb847d33a9cde4c4a0f46d697488ec862eb0c8e9e943b16252f89ac7c614d82f4,1,116200,2,2,4243.336052,4646.575854,4659.148866,node2,true,
6,PedersenCommit,PedersenCommitLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-multialgo-final-20260812-105644/sources/pedersencommitlatency001.go,"bytes,bytes",bytes,200000,"{""blindingHex"":""0x0b"",""messageHex"":""0x07""}",0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,node1,0x430eeeeedf585d83836f7338c171386f9940a65d4b47abd2b55095ca34d0de6e,1,122416,2,2,4445.093842,5050.212961,5061.965668,node2,true,
7,SchnorrVerify,SchnorrVerifyLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-multialgo-final-20260812-105644/sources/schnorrverifylatency001.go,"bytes,bytes",bool,200000,"{""messageHex"":""0x63727970746f75706772616465207363686e6f72722062656e63686d61726b"",""proofByteLength"":""768"",""proofSha256"":""0x89f0d49ad63b642cf675f571fc473cdbbb838ec60b8adf872896c3e3104a7445""}",true,node1,0x9daf2874347e25a319b4b58f637ce5baa2afc7862fa2a2d02c98dde206c7ac98,1,125224,2,2,4442.632093,5048.872394,5060.725626,node2,true,
