round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,tx_hash_to_receipt_ms,sender_receipt_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,tx_hash_to_complete_ms,sender_receipt_to_complete_ms,event_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node2,observer,http://127.0.0.1:8762,40,40,4852.497277,4847.409806,-0.176740,3.404139,4855.901416,4850.813945,3.227399,3.227399,1.492251,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node3,observer,http://127.0.0.1:8763,40,40,4852.578787,4847.491316,-0.095230,4.600767,4857.179554,4852.092083,4.505537,4.505537,2.666779,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node4,observer,http://127.0.0.1:8764,40,40,4852.497918,4847.410447,-0.176099,4.951790,4857.449708,4852.362237,4.775691,4.775691,1.660945,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node5,observer,http://127.0.0.1:8765,40,40,4853.877092,4848.789621,1.203075,3.376152,4857.253244,4852.165773,4.579227,4.579227,1.558290,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node1,signer,http://127.0.0.1:8761,41,41,5057.634723,5052.421327,0.558102,3.764852,5061.399575,5056.186179,4.322954,4.322954,1.666386,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node2,observer,http://127.0.0.1:8762,41,41,5057.067384,5051.853988,-0.009237,4.439575,5061.506959,5056.293563,4.430338,4.430338,1.515182,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node3,observer,http://127.0.0.1:8763,41,41,5057.650573,5052.437177,0.573952,3.884139,5061.534712,5056.321316,4.458091,4.458091,1.573338,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node4,observer,http://127.0.0.1:8764,41,41,5057.492943,5052.279547,0.416322,3.965864,5061.458807,5056.245411,4.382186,4.382186,1.798066,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node5,observer,http://127.0.0.1:8765,41,41,5057.075880,5051.862484,-0.000741,4.393658,5061.469538,5056.256142,4.392917,4.392917,1.660339,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
6,PedersenCommit,PedersenCommitLatency001,node1,signer,http://127.0.0.1:8761,42,42,4853.999635,4847.344636,0.056837,58.370761,4912.370396,4905.715397,58.427598,58.427598,55.481635,0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,true,false,
6,PedersenCommit,PedersenCommitLatency001,node2,observer,http://127.0.0.1:8762,42,42,4861.516228,4854.861229,7.573430,50.677943,4912.194171,4905.539172,58.251373,58.251373,48.309257,0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,true,false,
6,PedersenCommit,PedersenCommitLatency001,node3,observer,http://127.0.0.1:8763,42,42,4856.615597,4849.960598,2.672799,58.178860,4914.794457,4908.139458,60.851659,60.851659,55.354348,0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,true,false,
6,PedersenCommit,PedersenCommitLatency001,node4,observer,http://127.0.0.1:8764,42,42,4857.212086,4850.557087,3.269288,51.712697,4908.924783,4902.269784,54.981985,54.981985,49.351141,0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,true,false,
6,PedersenCommit,PedersenCommitLatency001,node5,observer,http://127.0.0.1:8765,42,42,4858.817054,4852.162055,4.874256,53.497537,4912.314591,4905.659592,58.371793,58.371793,50.067342,0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,true,false,
7,SchnorrVerify,SchnorrVerifyLatency001,node1,signer,http://127.0.0.1:8761,43,43,5054.933028,5047.656347,0.030418,280.585966,5335.518994,5328.242313,280.616384,280.616384,278.073423,true,true,true,false,
7,SchnorrVerify,SchnorrVerifyLatency001,node2,observer,http://127.0.0.1:8762,43,43,5055.442352,5048.165671,0.539742,262.313935,5317.756287,5310.479606,262.853677,262.853677,259.694980,true,true,true,false,
7,SchnorrVerify,SchnorrVerifyLatency001,node3,observer,http://127.0.0.1:8763,43,43,5054.967128,5047.690447,0.064518,287.233685,5342.200813,5334.924132,287.298203,287.298203,284.692566,true,true,true,false,
7,SchnorrVerify,SchnorrVerifyLatency001,node4,observer,http://127.0.0.1:8764,43,43,5054.950281,5047.673600,0.047671,270.374237,5325.324518,5318.047837,270.421908,270.421908,267.148487,true,true,true,false,
7,SchnorrVerify,SchnorrVerifyLatency001,node5,observer,http://127.0.0.1:8765,43,43,5055.192952,5047.916271,0.290342,260.564755,5315.757707,5308.481026,260.855097,260.855097,258.337724,true,true,true,false,
