round,algorithm,upgrade_name,source_path,abi_input_types,abi_output_types,algo_gas,input_summary,expected_output,sender_node,tx_hash,transaction_submitted_at,tx_hash_observed_at,receipt_observed_at,event_observed_at,activation_observed_at,receipt_status,gas_used,target_nodes,completed_nodes,submit_to_tx_hash_ms,tx_hash_to_sender_receipt_ms,submit_to_sender_receipt_ms,submit_to_all_receipt_ms,tx_hash_to_all_receipt_ms,sender_receipt_to_all_receipt_ms,submit_to_all_complete_ms,tx_hash_to_all_complete_ms,sender_receipt_to_all_complete_ms,receipt_to_event_ms,event_to_all_complete_ms,all_receipt_to_all_complete_ms,mean_node_submit_to_receipt_ms,mean_node_tx_hash_to_receipt_ms,mean_node_sender_receipt_to_receipt_ms,mean_node_receipt_to_complete_ms,mean_node_submit_to_complete_ms,mean_node_tx_hash_to_complete_ms,mean_node_sender_receipt_to_complete_ms,slowest_node,completed,error
1,Add,AddLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/algorithm/wasm/add.wasm,"uint256,uint256",uint256,3000,"{""a"":""100"",""b"":""100"",""expected"":""200""}",200,node1,0x2b84ab8f41e9c2ebb9b7f2874eb1b74d26040c79690b8df2bb1f91bdda9fa4d3,2026-09-03T02:02:32.195520225+08:00,2026-09-03T02:02:32.19995953+08:00,2026-09-03T02:02:37.050185843+08:00,2026-09-03T02:02:37.050185843+08:00,2026-09-03T02:02:37.053444256+08:00,1,338264,5,5,4.439315,4850.226323,4854.665638,4854.414771,4849.975456,-0.250867,4857.924031,4853.484716,3.258393,0.000000,3.258393,3.509260,4853.247492,4848.808177,-1.418146,4.203760,4857.451253,4853.011938,2.785615,node1,true,
2,Sha256,Sha256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/algorithm/wasm/sha256.wasm,bytes,bytes,3000,"{""dataHex"":""0x68656c6c6f2063727970746f75706772616465"",""outputHex"":""0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414""}",0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,node1,0x16689324f990266ee2d76664dd0b8eab41e3bebbdfed1a3584be5cd5a5f7f811,2026-09-03T02:02:37.069985175+08:00,2026-09-03T02:02:37.076347678+08:00,2026-09-03T02:02:42.129796105+08:00,2026-09-03T02:02:42.129796105+08:00,2026-09-03T02:02:42.134671499+08:00,1,1757420,5,5,6.362513,5053.448417,5059.810930,5060.275344,5053.912831,0.464414,5064.686324,5058.323811,4.875394,0.000000,4.875394,4.410980,5059.986732,5053.624219,0.175802,4.440149,5064.426881,5058.064368,4.615951,node3,true,
3,Blake2bSum256,Sum256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/algorithm/wasm/blake2b.wasm,bytes,bytes32,3000,"{""dataHex"":""0x68656c6c6f2063727970746f75706772616465"",""outputHex"":""0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4""}",0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,node1,0x2cb57eed67cce9b792b4e7a3e49cef85e2db0f2e8ff0ec978f111be6321a85f3,2026-09-03T02:02:42.147997748+08:00,2026-09-03T02:02:42.151664704+08:00,2026-09-03T02:02:47.201820584+08:00,2026-09-03T02:02:47.201820584+08:00,2026-09-03T02:02:47.205956358+08:00,1,291944,5,5,3.666956,5050.155881,5053.822837,5054.487512,5050.820556,0.664675,5057.958600,5054.291644,4.135763,0.000000,4.135763,3.471088,5053.948959,5050.282003,0.126122,3.332005,5057.280965,5053.614009,3.458128,node1,true,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/algorithm/wasm/pbkdf2_sha256.wasm,"bytes,bytes,uint256,uint256",bytes,25000,"{""iterations"":""2"",""keyLength"":""32"",""passwordHex"":""0x70617373776f7264"",""saltHex"":""0x73616c74""}",0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,node1,0x696aed757a84af49d057cf1e6bc93833eb8b70e4675bf9879a38a3916d736147,2026-09-03T02:02:47.222099104+08:00,2026-09-03T02:02:47.227186565+08:00,2026-09-03T02:02:52.074773101+08:00,2026-09-03T02:02:52.074773101+08:00,2026-09-03T02:02:52.079548802+08:00,1,1849964,5,5,5.087471,4847.586546,4852.674017,4853.877092,4848.789621,1.203075,4857.449708,4852.362237,4.775691,0.000000,4.775691,3.572616,4852.827182,4847.739711,0.153165,4.163132,4856.990315,4851.902844,4.316298,node4,true,
5,Dh2048Secret,Dh2048SecretLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/algorithm/wasm/dh2048.wasm,"bytes,bytes",bytes,200000,"{""peerPublicKeyByteLen"":""256"",""peerPublicKeySha256"":""0xd0ea30fde833ad026152c3bf82605ae359a4413c4b0b8f6e8d8fa13c75d447d3"",""privateKeyHex"":""0x05""}",0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,node1,0x448b5fee3c72169934de7b7a7dc2cc38f5ffc168071eec21984f5392aef0ea61,2026-09-03T02:02:52.098188497+08:00,2026-09-03T02:02:52.103401853+08:00,2026-09-03T02:02:57.155265108+08:00,2026-09-03T02:02:57.155265108+08:00,2026-09-03T02:02:57.159723219+08:00,1,1034824,5,5,5.213396,5051.863225,5057.076621,5057.650573,5052.437177,0.573952,5061.534712,5056.321316,4.458091,0.000000,4.458091,3.884139,5057.384301,5052.170905,0.307680,4.089618,5061.473918,5056.260522,4.397297,node3,true,
6,PedersenCommit,PedersenCommitLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/algorithm/wasm/pedersen_commit.wasm,"bytes,bytes",bytes,200000,"{""blindingHex"":""0x0b"",""messageHex"":""0x07""}",0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,node1,0xfe8ae8202ef6f562846519c156dd0b067c0be7906eb350bbfa8dcb8f7b3ee321,2026-09-03T02:02:57.178105623+08:00,2026-09-03T02:02:57.184760623+08:00,2026-09-03T02:03:02.032048412+08:00,2026-09-03T02:03:02.032048412+08:00,2026-09-03T02:03:02.092900091+08:00,1,2316692,5,5,6.654999,4847.287799,4853.942798,4861.516228,4854.861229,7.573430,4914.794457,4908.139458,60.851659,0.000000,60.851659,53.278229,4857.632120,4850.977121,3.689322,54.487560,4912.119680,4905.464681,58.176882,node3,true,
7,SchnorrVerify,SchnorrVerifyLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/algorithm/wasm/schnorr_proof.wasm,"bytes,bytes",bool,200000,"{""messageHex"":""0x63727970746f75706772616465207363686e6f72722062656e63686d61726b"",""proofByteLength"":""768"",""proofSha256"":""0x89f0d49ad63b642cf675f571fc473cdbbb838ec60b8adf872896c3e3104a7445""}",true,node1,0x32ef6a669c2aac8f822cea4b7f62cb1193381e19891cb64d70ca58ed16442229,2026-09-03T02:03:02.112993581+08:00,2026-09-03T02:03:02.120270282+08:00,2026-09-03T02:03:07.167896201+08:00,2026-09-03T02:03:07.167896201+08:00,2026-09-03T02:03:07.455194414+08:00,1,2319644,5,5,7.276681,5047.625929,5054.902610,5055.442352,5048.165671,0.539742,5342.200813,5334.924132,287.298203,0.000000,287.298203,286.758461,5055.097148,5047.820467,0.194538,272.214516,5327.311664,5320.034983,272.409054,node3,true,
