round,algorithm,upgrade_name,source_path,abi_input_types,abi_output_types,algo_gas,input_summary,expected_output,sender_node,tx_hash,receipt_status,gas_used,target_nodes,completed_nodes,submit_to_sender_receipt_ms,submit_to_all_receipt_ms,submit_to_all_complete_ms,mean_node_submit_to_receipt_ms,mean_node_receipt_to_complete_ms,mean_node_submit_to_complete_ms,slowest_node,completed,error
1,Add,AddLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-all-20260812/sources/addlatency001.go,"uint256,uint256",uint256,3000,"{""a"":""100"",""b"":""100"",""expected"":""200""}",200,node1,0x3f475203a91061e19a57ad33d9c7a2cf626f771f2b737957dc4a7aad6a891860,1,86300,10,10,12194.665366,80673.286527,80694.042677,73198.217725,65.188289,73263.406014,node6,true,
2,Sha256,Sha256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-all-20260812/sources/sha256latency001.go,bytes,bytes,3000,"{""dataHex"":""0x68656c6c6f2063727970746f75706772616465"",""outputHex"":""0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414""}",0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,node1,0x2a0a4dc5bd89118359c7b61345d41c04cf216f131cf181336cc650cc3de2c639,1,88156,10,10,6506.075965,14743.414320,14756.577564,13662.384029,33.998254,13696.382282,node10,true,
3,Blake2bSum256,Sum256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-all-20260812/sources/sum256latency001.go,bytes,bytes32,3000,"{""dataHex"":""0x68656c6c6f2063727970746f75706772616465"",""outputHex"":""0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4""}",0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,node1,0x1a582927ecea5a269499eafb559f82bcd43b48e26732a2e81459d47aa79cb37b,1,150920,10,10,6675.028566,9989.316732,10005.963085,9438.381226,28.350451,9466.731677,node7,true,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-all-20260812/sources/pbkdf2sha256latency001.go,"bytes,bytes,uint256,uint256",bytes,25000,"{""iterations"":""2"",""keyLength"":""32"",""passwordHex"":""0x70617373776f7264"",""saltHex"":""0x73616c74""}",0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,node1,0x056c226cc3d5e33b6419e420c4bd0e283be862f039ae9ae837ea93048910ba41,1,109164,10,10,6721.928900,12230.881172,12265.207421,11253.029916,69.855763,11322.885679,node3,true,
5,Dh2048Secret,Dh2048SecretLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-all-20260812/sources/dh2048secretlatency001.go,"bytes,bytes",bytes,200000,"{""peerPublicKeyByteLen"":""256"",""peerPublicKeySha256"":""0xd0ea30fde833ad026152c3bf82605ae359a4413c4b0b8f6e8d8fa13c75d447d3"",""privateKeyHex"":""0x05""}",0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,node1,0x7d8e5524e9f7163926a544eb9d9678ff1974f60eab849981ae5387f9e4ed6157,1,116200,10,10,4273.488241,9025.859855,9046.112886,8333.581122,47.308554,8380.889675,node10,true,
6,PedersenCommit,PedersenCommitLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-all-20260812/sources/pedersencommitlatency001.go,"bytes,bytes",bytes,200000,"{""blindingHex"":""0x0b"",""messageHex"":""0x07""}",0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,node1,0x886ae87189b06258f16170bc3d0f66e4e55262face9c5e21d2f20af98667a909,1,122416,10,10,5293.131474,9146.375154,9183.089202,8507.897602,47.292927,8555.190529,node5,true,
7,SchnorrVerify,SchnorrVerifyLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-all-20260812/sources/schnorrverifylatency001.go,"bytes,bytes",bool,200000,"{""messageHex"":""0x63727970746f75706772616465207363686e6f72722062656e63686d61726b"",""proofByteLength"":""768"",""proofSha256"":""0x89f0d49ad63b642cf675f571fc473cdbbb838ec60b8adf872896c3e3104a7445""}",true,node1,0x994038532f2962100a87ecbb138226e6255da8c1cb2fcfb3442ca89f137501f3,1,125224,10,8,6100.427636,10717.590086,10754.038538,9831.725567,72.310452,9816.012688,node8,false,round incomplete; at least one target node did not complete
