round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,tx_hash_to_receipt_ms,sender_receipt_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,tx_hash_to_complete_ms,sender_receipt_to_complete_ms,event_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,Blake2bSum256,Sum256Latency001,node1,signer,http://127.0.0.1:8761,10,12,7349.087092,7346.202905,-0.239085,12926.659534,20275.746626,20272.862439,12926.420449,12926.420449,9.503685,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node2,observer,http://127.0.0.1:8762,10,12,7349.137644,7346.253457,-0.188533,12887.742804,20236.880448,20233.996261,12887.554271,12887.554271,16.649082,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node3,observer,http://127.0.0.1:8763,10,12,7349.128530,7346.244343,-0.197647,12887.739810,20236.868340,20233.984153,12887.542163,12887.542163,17.510828,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node4,observer,http://127.0.0.1:8764,10,12,7349.234342,7346.350155,-0.091835,13003.491002,20352.725344,20349.841157,13003.399167,13003.399167,10.227401,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node5,observer,http://127.0.0.1:8765,10,12,7349.137434,7346.253247,-0.188743,12907.747687,20256.885121,20254.000934,12907.558944,12907.558944,10.380029,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
