algorithm_group,round,algorithm,upgrade_name,source_path,abi_input_types,abi_output_types,algo_gas,input_summary,expected_output,sender_node,tx_hash,receipt_status,gas_used,target_nodes,completed_nodes,submit_to_sender_receipt_ms,submit_to_all_receipt_ms,submit_to_all_complete_ms,mean_node_submit_to_receipt_ms,mean_node_receipt_to_complete_ms,mean_node_submit_to_complete_ms,slowest_node,completed,error
Add,1,Add,AddLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-clean-20260812-114012/Add/sources/addlatency001.go,"uint256,uint256",uint256,3000,"{""a"":""100"",""b"":""100"",""expected"":""200""}",200,node1,0x65bfcbba401c7032a5c49d82748c062d21cddd21b9e84a38d977a01fed4a6007,1,86300,10,10,11726.195463,65510.478132,65521.594083,59558.641847,26.516455,59585.158302,node7,true,
Sha256,1,Sha256,Sha256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-clean-20260812-114012/Sha256/sources/sha256latency001.go,bytes,bytes,3000,"{""dataHex"":""0x68656c6c6f2063727970746f75706772616465"",""outputHex"":""0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414""}",0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,node1,0x05abc270e6d0e5e785cdf2cc83213954b17fc207b26188da321ee0e84515bdbe,1,88156,10,10,10315.543826,58127.726412,58140.500481,52757.087901,27.509007,52784.596908,node6,true,
Blake2bSum256,1,Blake2bSum256,Sum256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-clean-20260812-114012/Blake2bSum256/sources/sum256latency001.go,bytes,bytes32,3000,"{""dataHex"":""0x68656c6c6f2063727970746f75706772616465"",""outputHex"":""0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4""}",0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,node1,0x118cc108613266f65560fb41db8cb78c72c9ab81f390b730a98d3ff2095d74e2,1,150920,10,10,7692.436965,45907.540298,45919.103615,41559.807587,27.105068,41586.912655,node2,true,
Pbkdf2Sha256,1,Pbkdf2Sha256,Pbkdf2Sha256Latency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-clean-20260812-114012/Pbkdf2Sha256/sources/pbkdf2sha256latency001.go,"bytes,bytes,uint256,uint256",bytes,25000,"{""iterations"":""2"",""keyLength"":""32"",""passwordHex"":""0x70617373776f7264"",""saltHex"":""0x73616c74""}",0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,node1,0x8a2605bf6b7ec27fbc56c6ffd917c06fcd148b378cc6131846053856ac43d41d,1,109164,10,10,22172.478460,96192.374317,96214.681720,88129.820236,131.254060,88261.074296,node8,true,
Dh2048Secret,1,Dh2048Secret,Dh2048SecretLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-clean-20260812-114012/Dh2048Secret/sources/dh2048secretlatency001.go,"bytes,bytes",bytes,200000,"{""peerPublicKeyByteLen"":""256"",""peerPublicKeySha256"":""0xd0ea30fde833ad026152c3bf82605ae359a4413c4b0b8f6e8d8fa13c75d447d3"",""privateKeyHex"":""0x05""}",0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,node1,0x47f433de2c9a8acd5bba4df038fafee911df2fd2a7d4e0f55a94de6162419eaf,1,116200,10,10,14380.266605,70468.817414,70482.046336,63697.030607,44.716718,63741.747325,node8,true,
PedersenCommit,1,PedersenCommit,PedersenCommitLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-clean-20260812-114012/PedersenCommit/sources/pedersencommitlatency001.go,"bytes,bytes",bytes,200000,"{""blindingHex"":""0x0b"",""messageHex"":""0x07""}",0x17cf9556653c689142d16df9bb4ccbd947bb4a4f410750122ca94ca7f72c65f5b24331ee7a752b0df7d469b66eb0f40b8eced71e800dc4f06c86916a5236251972ea1a28651a3cb93938ea141b36de7ebf1704b21fd219f80bcd6961ccff9ab500ce871b26e5470954efc35012f44b2106fe9c30643bc16ca52a58dba42b5949c953c7998e0ee065ca648a179cec9854489eed2082a6c38e160aaf818918d0092e2a6af7284059579f1c31e402b0122ad30f28433b0e278849425289d67066684dc3d068ead8fd0b40040285dc58c50b8f7f67d5c2ec303fcf77fd7055a59e699f7fc2ec35c433a281b85e9daf5222cfef084f566abd8690c5d97b726dadeefc,node1,0xff609749184c01cdcb98b1f570d7f0efd12b2f207e19aee5ebc741b2b54bcd18,1,122416,10,10,14408.605748,89537.062097,89557.063600,81401.080218,91.012115,81492.092333,node5,true,
SchnorrVerify,1,SchnorrVerify,SchnorrVerifyLatency001,/home/liuqi/project/paper/go-ethereum/cryptoupgrade/results/upgrade-latency/lab1-10nodes-clean-20260812-114012/SchnorrVerify/sources/schnorrverifylatency001.go,"bytes,bytes",bool,200000,"{""messageHex"":""0x63727970746f75706772616465207363686e6f72722062656e63686d61726b"",""proofByteLength"":""768"",""proofSha256"":""0x89f0d49ad63b642cf675f571fc473cdbbb838ec60b8adf872896c3e3104a7445""}",true,node1,0x5cd6545e75156b8de884a91fdc022efc5ab8e2d1ae1d8a8d2bbb901828425408,1,125224,10,10,10723.480966,87693.052929,87726.329986,78942.723263,110.533913,79053.257176,node10,true,
