round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,tx_hash_to_receipt_ms,sender_receipt_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,tx_hash_to_complete_ms,sender_receipt_to_complete_ms,event_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node1,signer,http://127.0.0.1:8761,6,10,7242.755837,7240.884134,-0.064523,20112.470159,27355.225996,27353.354293,20112.405636,20112.405636,15.016235,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
1,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node2,observer,http://127.0.0.1:8762,6,10,7348.061712,7346.190009,105.241352,19998.590735,27346.652447,27344.780744,20103.832087,20103.832087,12.006910,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
1,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node3,observer,http://127.0.0.1:8763,6,9,7343.801893,7341.930190,100.981533,19832.390754,27176.192647,27174.320944,19933.372287,19933.372287,83.875045,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
1,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node4,observer,http://127.0.0.1:8764,6,10,7344.632965,7342.761262,101.812605,19984.792202,27329.425167,27327.553464,20086.604807,20086.604807,10.957284,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
1,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node5,observer,http://127.0.0.1:8765,6,10,7348.487321,7346.615618,105.666961,20082.009221,27430.496542,27428.624839,20187.676182,20187.676182,9.358278,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
